PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO,NEW_KATEGORIJA,OLD_KATEGORIJA
7 STRIPS BUCKET MENU,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,4.490784349999999,OSTALO,
7 STRIPS BUCKET MENU D,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,5.078315599999999,OSTALO,
7 WINGS BUCKET MENU,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,2.99771025,OSTALO,
7 WINGS BUCKET MENU D,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,3.5852415,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,4.401413249999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.088944499999998,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,4.37271075,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,,,,,,5.060241999999999,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,5.198652749999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
