PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO
,Shortening KFC,ULJE,0.0384,KG,3.44,0.132096
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,,,,,,2.912208
MEGA ZINGER BURGER D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,2.0,KOM,0.94,1.88
,HOT AND SPICY MARINADE,MARINADA,0.00604,KG,7.5,0.0453
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0528,KG,0.97,0.051216
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00082,KG,6.75,0.005535
,Shortening KFC,ULJE,0.0384,KG,3.44,0.132096
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,,,,,,2.912208
MEGA CLASSIC BURGER,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,2.0,KOM,0.94,1.88
,TMOR MARINADE,MARINADA,0.003,KG,9.3,0.0279
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0462,KG,0.97,0.044814
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0098,KG,12.05,0.11809
,Shortening KFC,ULJE,0.0292,KG,3.44,0.100448
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,,,,,,2.969313
MEGA CLASSIC BURGER D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,2.0,KOM,0.94,1.88
,TMOR MARINADE,MARINADA,0.003,KG,9.3,0.0279
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0462,KG,0.97,0.044814
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0098,KG,12.05,0.11809
,Shortening KFC,ULJE,0.0292,KG,3.44,0.100448
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,,,,,,2.969313
GRANDER OR,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0049,KG,12.05,0.059045
,Shortening KFC,ULJE,0.0146,KG,3.44,0.050224
,Sliced cheese KFC,SIR,2.0,KOM,0.14,0.28
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0087,KG,3.84,0.03340799999999999
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0464,KG,6.5,0.3016
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192
,,,,,,2.765029
GRANDER OR D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0049,KG,12.05,0.059045
,Shortening KFC,ULJE,0.0146,KG,3.44,0.050224
,Sliced cheese KFC,SIR,2.0,KOM,0.14,0.28
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0087,KG,3.84,0.03340799999999999
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0464,KG,6.5,0.3016
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192
,,,,,,2.765029
GRANDER H&S,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,Sliced cheese KFC,SIR,2.0,KOM,0.14,0.28
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0087,KG,3.84,0.03340799999999999
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0464,KG,6.5,0.3016
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192
,,,,,,2.7364765
GRANDER HS D,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,Sliced cheese KFC,SIR,2.0,KOM,0.14,0.28
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0151,KG,5.87,0.08863700000000001
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0087,KG,3.84,0.03340799999999999
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0464,KG,6.5,0.3016
,ZingerWrap.KFC,AMBALAŽA,1.0,KOM,0.03,0.03
,"BUN 5"" with sesame 30 pcs/box",PECIVO,1.0,KOM,0.4,0.4
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192
,,,,,,2.7364765
TOWER OR BURGER,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21
,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,TMOR MARINADE,MARINADA,0.0015,KG,9.3,0.01395
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0231,KG,0.97,0.022407
